number,value,datetime_start,datetime_complete,duration,params_batch,params_capa_0,params_capa_1,params_capa_2,params_dropout,params_l2,params_lr,params_n_capas,state
0,0.9092587828636169,2026-05-28 23:29:34.241839,2026-05-28 23:29:51.206553,0 days 00:00:16.964714,256,64,64.0,,0.4464704583099741,0.0006358358856676254,0.0026070247583707684,2,COMPLETE
1,0.9090290665626526,2026-05-28 23:29:51.207552,2026-05-28 23:30:23.610318,0 days 00:00:32.402766,128,256,,,0.3099025726528951,0.00019762189340280086,0.0003823475224675188,1,COMPLETE
2,0.9095613956451416,2026-05-28 23:30:23.611323,2026-05-28 23:31:29.062760,0 days 00:01:05.451437,256,128,128.0,,0.34301794076057535,3.247673570627447e-05,0.00013492834268013249,2,COMPLETE
3,0.9094669222831726,2026-05-28 23:31:29.064765,2026-05-28 23:32:29.790277,0 days 00:01:00.725512,128,128,,,0.14881529393791154,0.0003058656666978527,0.00011715937392307068,1,COMPLETE
4,0.9063164591789246,2026-05-28 23:32:29.791277,2026-05-28 23:32:35.182703,0 days 00:00:05.391426,512,128,,,0.48783385110582345,0.002115429079726122,0.007568292060167619,1,COMPLETE
5,0.908331036567688,2026-05-28 23:32:35.183704,2026-05-28 23:32:40.686982,0 days 00:00:05.503278,512,256,,,0.25547091587579285,6.516990611177177e-05,0.004544383960336014,1,COMPLETE
6,0.9087523818016052,2026-05-28 23:32:40.686982,2026-05-28 23:33:17.286538,0 days 00:00:36.599556,128,256,,,0.40889790771866297,3.9459088110999965e-05,0.00010257563974185662,1,COMPLETE
7,0.9084548950195312,2026-05-28 23:33:17.286538,2026-05-28 23:33:27.595244,0 days 00:00:10.308706,512,128,64.0,256.0,0.39184247133522565,0.0008178476574339542,0.0059487468132197715,3,COMPLETE
8,0.9095295071601868,2026-05-28 23:33:27.596244,2026-05-28 23:33:39.276091,0 days 00:00:11.679847,512,128,64.0,256.0,0.22574239243053068,0.0003355151022721483,0.006533305220227739,3,COMPLETE
9,0.909332811832428,2026-05-28 23:33:39.277093,2026-05-28 23:33:51.125310,0 days 00:00:11.848217,128,128,,,0.47187906093702925,0.002656813924114493,0.0018484491720988621,1,COMPLETE
10,0.9098092317581177,2026-05-28 23:33:51.125310,2026-05-28 23:34:08.878680,0 days 00:00:17.753370,256,64,128.0,,0.33714064506164776,1.1151019115387518e-05,0.0004872311972287137,2,COMPLETE
