number,value,datetime_start,datetime_complete,duration,params_batch,params_capa_0,params_capa_1,params_capa_2,params_dropout,params_l2,params_lr,params_n_capas,state
0,0.908913643054375,2026-05-29 01:25:41.669751,2026-05-29 01:25:58.333749,0 days 00:00:16.663998,256,64,64.0,,0.4464704583099741,0.0006358358856676254,0.0026070247583707684,2,COMPLETE
1,0.9093944862671755,2026-05-29 01:25:58.333749,2026-05-29 01:26:15.947749,0 days 00:00:17.614000,128,256,,,0.3099025726528951,0.00019762189340280086,0.0003823475224675188,1,COMPLETE
2,0.9105369287907353,2026-05-29 01:26:15.948749,2026-05-29 01:27:01.890749,0 days 00:00:45.942000,256,128,128.0,,0.34301794076057535,3.247673570627447e-05,0.00013492834268013249,2,COMPLETE
3,0.9100544859664486,2026-05-29 01:27:01.891749,2026-05-29 01:27:33.970749,0 days 00:00:32.079000,128,128,,,0.14881529393791154,0.0003058656666978527,0.00011715937392307068,1,COMPLETE
4,0.9065159853974667,2026-05-29 01:27:33.970749,2026-05-29 01:27:48.714749,0 days 00:00:14.744000,512,128,,,0.48783385110582345,0.002115429079726122,0.007568292060167619,1,COMPLETE
5,0.9079822692664407,2026-05-29 01:27:48.715749,2026-05-29 01:28:02.853749,0 days 00:00:14.138000,512,256,,,0.25547091587579285,6.516990611177177e-05,0.004544383960336014,1,COMPLETE
6,0.9089224409175498,2026-05-29 01:28:02.853749,2026-05-29 01:28:41.534780,0 days 00:00:38.681031,128,256,,,0.40889790771866297,3.9459088110999965e-05,0.00010257563974185662,1,COMPLETE
7,0.907756804027438,2026-05-29 01:28:41.535780,2026-05-29 01:28:58.102825,0 days 00:00:16.567045,512,128,64.0,256.0,0.39184247133522565,0.0008178476574339542,0.0059487468132197715,3,COMPLETE
8,0.9095162167012876,2026-05-29 01:28:58.103828,2026-05-29 01:29:26.347966,0 days 00:00:28.244138,512,128,64.0,256.0,0.22574239243053068,0.0003355151022721483,0.006533305220227739,3,COMPLETE
9,0.9075058249852276,2026-05-29 01:29:26.348468,2026-05-29 01:29:48.962968,0 days 00:00:22.614500,128,128,,,0.47187906093702925,0.002656813924114493,0.0018484491720988621,1,COMPLETE
10,0.910449110120134,2026-05-29 01:29:48.962968,2026-05-29 01:30:07.135009,0 days 00:00:18.172041,256,64,128.0,,0.33714064506164776,1.1151019115387518e-05,0.0004872311972287137,2,COMPLETE
11,0.910167018634514,2026-05-29 01:30:07.135009,2026-05-29 01:30:25.812577,0 days 00:00:18.677568,256,64,128.0,,0.32436464593758313,1.0673142185664004e-05,0.0004293981317339872,2,COMPLETE
12,0.9093780102688659,2026-05-29 01:30:25.813577,2026-05-29 01:30:56.768737,0 days 00:00:30.955160,256,64,128.0,,0.34705673161490247,1.0600112058337654e-05,0.0003360118908192416,2,COMPLETE
13,0.9088822906692423,2026-05-29 01:30:56.769737,2026-05-29 01:31:14.569210,0 days 00:00:17.799473,256,64,256.0,,0.23905337219863318,3.103823142687322e-05,0.0009174385522435327,2,COMPLETE
14,0.9098361389985601,2026-05-29 01:31:14.570210,2026-05-29 01:31:46.929748,0 days 00:00:32.359538,256,64,128.0,,0.3715846177610577,9.448128054226018e-05,0.00024873129902034616,2,COMPLETE
15,0.9093277824681941,2026-05-29 01:31:46.930748,2026-05-29 01:32:00.854946,0 days 00:00:13.924198,256,128,128.0,128.0,0.16438420167553017,2.7047089028441883e-05,0.0007906488904603226,3,COMPLETE
16,0.9110329683126562,2026-05-29 01:32:00.855947,2026-05-29 01:32:26.815144,0 days 00:00:25.959197,256,64,128.0,,0.2695614566733774,0.008087411777442793,0.00018015596595059326,2,COMPLETE
17,0.9079201243601954,2026-05-29 01:32:26.816144,2026-05-29 01:32:49.881017,0 days 00:00:23.064873,256,128,256.0,64.0,0.1018960478612359,0.0012321422797151342,0.00014923496780859332,3,COMPLETE
18,0.91090467947145,2026-05-29 01:32:49.882018,2026-05-29 01:33:14.970152,0 days 00:00:25.088134,256,64,128.0,,0.26480544997990074,0.005019315676644366,0.00020194978347198517,2,COMPLETE
19,0.91045662829412,2026-05-29 01:33:14.971152,2026-05-29 01:33:38.980713,0 days 00:00:24.009561,256,64,128.0,64.0,0.26370917521248005,0.009973527517396568,0.00022395980524351648,3,COMPLETE
20,0.9099191588347022,2026-05-29 01:33:38.981713,2026-05-29 01:33:50.113520,0 days 00:00:11.131807,256,64,128.0,,0.19790021357715396,0.009265933574494513,0.0006294603493161409,2,COMPLETE
