number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.9290934617800028,2026-05-29 01:40:13.949414,2026-05-29 01:40:15.667092,0 days 00:00:01.717678,0.6624074561769746,3.200866785899844e-08,0.06504856968981275,10,2,600,0.002570603566117598,2.9154431891537547,0.8394633936788146,COMPLETE
1,0.9291011399151374,2026-05-29 01:40:15.668093,2026-05-29 01:40:16.300708,0 days 00:00:00.632615,0.6849356442713105,3.939402261362697e-07,0.2526878207508456,3,2,900,0.00052821153945323,0.016480446427978974,0.9329770563201687,COMPLETE
2,0.9284141867623191,2026-05-29 01:40:16.301712,2026-05-29 01:40:18.112894,0 days 00:00:01.811182,0.7168578594140873,9.275538076980542e-05,0.032781876533976156,5,4,600,6.267062696005991e-07,1.382623217936987,0.6557975442608167,COMPLETE
3,0.9131052649932384,2026-05-29 01:40:18.114896,2026-05-29 01:40:18.560283,0 days 00:00:00.445387,0.6682096494749166,1.7960847528705854,0.0013033567475147442,7,1,700,0.18861495878553936,7.2866537374910445,0.8430179407605753,COMPLETE
4,0.9265260053638172,2026-05-29 01:40:18.562285,2026-05-29 01:40:19.762336,0 days 00:00:01.200051,0.6488152939379115,1.9913367728263115e-08,0.04953682563497157,3,5,500,2.133142332373004e-06,4.337920697490942,0.7760609974958406,COMPLETE
5,0.9280980235520396,2026-05-29 01:40:19.763336,2026-05-29 01:40:22.636941,0 days 00:00:02.873605,0.6739417822102108,0.05531681668096113,0.01942099825171803,5,10,900,1.1309571585271483,5.727904470799623,0.8186841117373118,COMPLETE
6,0.918049904039307,2026-05-29 01:40:22.638941,2026-05-29 01:40:24.130333,0 days 00:00:01.491392,0.6180909155642152,2.4048726561760165e-05,0.0016565580440884786,10,4,800,0.28749982347407854,0.01217295809836997,0.6783931449676581,COMPLETE
7,0.9279558180909021,2026-05-29 01:40:24.132339,2026-05-29 01:40:25.780467,0 days 00:00:01.648128,0.9208787923016158,3.845031120156871,0.022096526145513846,5,1,500,6.143857495033091e-07,1.2273800987852967,0.6563696899899051,COMPLETE
8,0.928773939385602,2026-05-29 01:40:25.782471,2026-05-29 01:40:27.071922,0 days 00:00:01.289451,0.9085081386743783,1.3130541002425655e-05,0.0563600475052774,9,1,200,0.5860448217200517,0.0029072088906598446,0.8916028672163949,COMPLETE
9,0.9053739427767784,2026-05-29 01:40:27.072921,2026-05-29 01:40:27.392002,0 days 00:00:00.319081,0.7300733288106989,0.0035163599046376553,0.0014369502768990666,5,8,800,0.0001778010520878397,3.53875886477924,0.7243929286862649,COMPLETE
10,0.928872475453162,2026-05-29 01:40:27.393001,2026-05-29 01:40:27.954863,0 days 00:00:00.561862,0.8182873120328862,1.6676119001229423e-06,0.2521511680920944,3,7,1200,0.00020590009861590298,0.0413146699891262,0.9810323243403002,COMPLETE
11,0.9281127399777143,2026-05-29 01:40:27.955864,2026-05-29 01:40:28.462216,0 days 00:00:00.506352,0.7971457481268196,1.5548264465985024e-08,0.24856232375426024,8,3,1100,0.003918530335205835,0.1964101424424174,0.9338091332349986,COMPLETE
12,0.9277356315698043,2026-05-29 01:40:28.463215,2026-05-29 01:40:29.511706,0 days 00:00:01.048491,0.7874820875551369,1.3450711136470966e-07,0.1061449473375762,10,3,1000,0.003910440683568465,0.13779822611359618,0.8884170683398009,COMPLETE
13,0.9222596015879663,2026-05-29 01:40:29.513705,2026-05-29 01:40:31.650264,0 days 00:00:02.136559,0.6021809558214184,6.651588026466964e-07,0.004947182297065678,7,2,400,0.006339619132612613,0.013749812411488862,0.9997449754566203,COMPLETE
