age,workclass,marital-status,relationship,race,sex,hours-per-week,income,region,nivel_educativo,perfil_ocupacional,cat_capital-gain,cat_capital-loss,log_capital_gain,log_capital_loss
39,State-gov,Never-married,Not-in-family,White,Male,40,<=50K,EEUU,Universitaria,Administrativo_Especializado,Nivel_3,Nivel_4,7.684783943522785,0.0
50,Self-emp-not-inc,Married-civ-spouse,Husband,White,Male,13,<=50K,EEUU,Universitaria,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
38,Private,Divorced,Not-in-family,White,Male,40,<=50K,EEUU,Secundaria_Completa,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
53,Private,Married-civ-spouse,Husband,Black,Male,40,<=50K,EEUU,Basica_Incompleta,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
28,Private,Married-civ-spouse,Wife,Black,Female,40,<=50K,Latinoamerica,Universitaria,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
37,Private,Married-civ-spouse,Wife,White,Female,40,<=50K,EEUU,Maestría,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
49,Private,Married-spouse-absent,Not-in-family,Black,Female,16,<=50K,Latinoamerica,Basica_Incompleta,Servicios,Nivel_3,Nivel_4,0.0,0.0
52,Self-emp-not-inc,Married-civ-spouse,Husband,White,Male,45,>50K,EEUU,Secundaria_Completa,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
31,Private,Never-married,Not-in-family,White,Female,50,>50K,EEUU,Maestría,Administrativo_Especializado,Nivel_7,Nivel_4,9.552865680310473,0.0
42,Private,Married-civ-spouse,Husband,White,Male,40,>50K,EEUU,Universitaria,Administrativo_Especializado,Nivel_8,Nivel_4,8.552367266423891,0.0
37,Private,Married-civ-spouse,Husband,Black,Male,80,>50K,EEUU,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
30,State-gov,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,40,>50K,Asia,Universitaria,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
23,Private,Never-married,Own-child,White,Female,30,<=50K,EEUU,Universitaria,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
32,Private,Never-married,Not-in-family,Black,Male,50,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
40,Private,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,40,>50K,,Tecnica_o_Universitaria_Incompleta,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
34,Private,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,45,<=50K,Latinoamerica,Basica_Incompleta,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
25,Self-emp-not-inc,Never-married,Own-child,White,Male,35,<=50K,EEUU,Secundaria_Completa,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
32,Private,Never-married,Unmarried,White,Male,40,<=50K,EEUU,Secundaria_Completa,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
38,Private,Married-civ-spouse,Husband,White,Male,50,<=50K,EEUU,Basica_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
43,Self-emp-not-inc,Divorced,Unmarried,White,Female,45,>50K,EEUU,Maestría,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
40,Private,Married-civ-spouse,Husband,White,Male,60,>50K,EEUU,Doctorado,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
54,Private,Separated,Unmarried,Black,Female,20,<=50K,EEUU,Secundaria_Completa,Servicios,Nivel_3,Nivel_4,0.0,0.0
35,Federal-gov,Married-civ-spouse,Husband,Black,Male,40,<=50K,EEUU,Basica_Incompleta,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
